Event Date,Type,Event,Location,Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
04/24/2018,RNY for Kids (KIDS),Ready NY for Middle School,Brooklyn School for Collaborative Studies,610 Henry Street,Brooklyn,11231,40.68007,-74.001377,306,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook
03/09/2018,RNY for Kids (KIDS),RNY for Kids,PS/MS 124,129-15 150th Avenue,Queens,11420,40.665058,-73.811701,410,28,84602,4257530,4118820001,South Ozone Park
04/24/2018,RNY General Presentation (GEN),NYC Emergency Management Presentation,Union Settlement Gaylord White Senior Center,237 East 104th St,Manhattan,10029,40.789687,-73.944267,111,8,170,1080671,1016540011,East Harlem South
04/24/2018,RNY General Presentation (GEN),ESOL Parent Workshop,PS 189,2580 Amsterdam Ave,Manhattan,10040,40.852631,-73.927604,112,10,277,1076750,1021590051,Washington Heights North
04/24/2018,RNY for Kids (KIDS),Kids Presentation,PS 189,2580 Amsterdam Ave,Manhattan,10040,40.852631,-73.927604,112,10,277,1076750,1021590051,Washington Heights North
04/23/2018,RNY General Presentation (GEN),Chinatown NNORC Workshop,CCBA,62 Mott Street,Manhattan,10013,40.716051,-73.998222,103,1,29,1002403,1002010004,Chinatown
04/22/2018,RNY Fair (FAIR),9/11 Memorial & Museum 5K,Greenwich Street at Liberty Street,Greenwich Street at Liberty Street,Manhattan,,,,,,,,,
04/21/2018,RNY Fair (FAIR),The Joy Of  Parenting,Boys & Girls High School,1700 Fulton Street,Brooklyn,11213,40.67944,-73.932407,303,36,271,3047996,3017010001,Crown Heights North
04/21/2018,RNY Fair (FAIR),2018 Healthy Kids Day & Family Wellness Expo,Long Island City YMCA,32-23 Queens Boulevard,Queens,11101,40.744771,-73.932449,402,26,179,4537914,4002440024,Hunters Point-Sunnyside-West Maspeth
04/21/2018,RNY Fair (FAIR),Uptown Car Free Day,Council Member Ydanis Office,St. Nicholas from 181st Street to 190th Street,Manhattan,,,,,,,,,
04/21/2018,RNY Fair (FAIR),Ready New York Fair: Let's Paws for Earth Day,Corporal Thompson Park,166 Broadway,Staten Island,10310,40.637314,-74.117593,501,49,13302,5005128,5001860104,West New Brighton-New Brighton-St. George
04/21/2018,RNY Fair (FAIR),Ready NY Fair:  Race for Reentry,Bronx YMCA,2 Castle Hill Avenue,Bronx,10473,40.811781,-73.846335,209,18,90,2020591,2034870001,Soundview-Castle Hill-Clason Point-Harding Park
04/20/2018,RNY General Presentation (GEN),How To Prepare For Emergencies Before They Happen!,"Long Island University, Downtown Brooklyn campus",1 University Plaza,Brooklyn,11201,40.69175,-73.981544,302,35,31,3338885,3020850001,Fort Greene
04/20/2018,RNY General Presentation (GEN),Emergency Preparedness Presentation,Island Ambulatory Surgery Center,"2279 Coney Island Avenue, 1A",Brooklyn,11223,40.60142,-73.961418,315,48,556,3425549,3072900059,Homecrest
04/19/2018,RNY for Kids (KIDS),Ready Girl at Pre-K Center,District 24 at PS 298,50-51 98th Street,Queens,11368,40.742167,-73.864109,404,21,44302,4046832,4018910001,Corona
04/19/2018,RNY for Kids (KIDS),Ready Girl at Pre-K Center,District 24 at Le Frak,57-08 99th Street,Queens,11368,40.738234,-73.860011,404,21,455,4047329,4019180082,Corona
04/19/2018,RNY for Kids (KIDS),Ready Girl at Pre-K Center,District 24 at St. Paul,98-22 55th Ave,Queens,11368,40.739192,-73.862261,404,21,44302,4437298,4019070023,Corona
04/19/2018,RNY Fair (FAIR),Sustainability Fair,BMCC/CUNY,199 Chambers,Manhattan,,,,,,,,,
04/19/2018,RNY General Presentation (GEN),Manhattan Community Board 1 Quality of Life Meeting,Manhattan Community Board 1,1 Centre Street Room 2202- North,Manhattan,10007,40.713001,-74.004181,101,1,29,1001394,1001210001,Chinatown
